Mês,ICF,ICF até 10 SM,ICF + de 10 SM,Emprego Atual,Emprego Atual até 10 SM,Emprego Atual + de 10 SM,Perspectiva Profissional,Perspectiva Profissional até 10 SM,Perspectiva Profissional + de 10 SM,Renda Atual,Renda Atual até 10 SM,Renda Atual + de 10 SM,Acesso a Crédito,Acesso a Crédito até 10 SM,Acesso a Crédito + de 10 SM,Nível de Consumo Atual,Nível de Consumo Atual até 10 SM,Nível de Consumo Atual + de 10 SM,Perspectiva de Consumo,Perspectiva de Consumo até 10 SM,Perspectiva de Consumo + de 10 SM,Momento para Duráveis,Momento para Duráveis até 10 SM,Momento para Duráveis + de 10 SM,load_timestamp
2019-04-01,99.83350218169845,95.03451266669076,113.73092926490985,119.03578654674354,115.8866683531495,128.15533980582524,121.17716366089773,118.26460915760183,129.61165048543688,113.10892537316282,108.499873513787,126.45631067961165,99.35786832256025,94.3587149000759,113.83495145631068,67.68314091066435,63.64786238300025,79.36893203883494,104.25753786755931,100.53124209461168,115.04854368932038,74.2140925903011,64.05261826460915,103.64077669902913,2025-01-21 19:37:26.186649+00:00
2019-05-01,97.993054251685,93.58019281332166,110.77229035465696,119.03124150976564,115.10736196319019,130.39443155452437,119.68298462393705,118.78834355828221,122.2737819025522,111.24196014011687,105.18916155419222,128.77030162412993,99.17691038662784,91.92229038854805,120.18561484918793,68.57350433871895,63.65030674846626,82.83062645011601,97.51341619990303,96.57464212678937,100.23201856148492,70.73136256272561,63.82924335378323,90.71925754060325,2025-01-21 19:37:26.186649+00:00
2019-06-01,94.52986349951084,91.91549191549191,102.10084033613445,116.86298602797225,114.63351463351464,123.31932773109244,114.54012988661296,115.64361564361565,111.34453781512605,108.3187359617132,103.93680393680393,121.00840336134453,97.89162003062154,90.77959077959078,118.48739495798318,66.58018651527006,63.45506345506346,75.63025210084034,93.1570314523303,93.91349391349391,90.96638655462185,64.35835462205551,61.04636104636105,73.94957983193277,2025-01-21 19:37:26.186649+00:00
2019-07-01,91.46467737847688,89.82119815668203,96.22404027690372,113.96783014004212,113.23870967741935,116.07929515418502,112.26666692983008,114.29677419354839,106.38766519823788,105.92230676193446,103.2516129032258,113.65638766519824,92.91156392483413,88.25806451612904,106.3876651982379,63.91380603523321,61.26451612903226,71.58590308370044,89.61019989140104,90.89032258064516,85.90308370044053,61.66036796606312,57.548387096774206,73.568281938326,2025-01-21 19:37:26.186649+00:00
2019-08-01,93.47315503213645,91.25297237973294,99.90259740259741,115.69011307040782,113.4955185659411,122.04545454545455,113.72817657727782,113.36747759282972,114.77272727272728,109.14753532195991,105.55697823303457,119.54545454545455,93.84067708050574,89.98719590268885,105.0,64.43166545594553,61.331626120358514,73.4090909090909,94.1438256120664,95.3393085787452,90.68181818181817,63.330092106791795,59.69270166453265,73.86363636363637,2025-01-21 19:37:26.186649+00:00
2019-09-01,95.97592608627163,92.7306886335718,105.37383177570094,117.76971516613588,112.7718765806778,132.2429906542056,116.08785607813405,113.25240263024784,124.29906542056074,111.6691163348232,106.90440060698027,125.46728971962617,97.50128818358903,94.05665149215983,107.47663551401868,66.4253138722426,63.302984319676284,75.46728971962617,95.98518453979192,96.53515427415275,94.39252336448598,66.39300842918456,62.29135053110774,78.27102803738318,2025-01-21 19:37:26.186649+00:00
2019-10-01,95.13397783585437,91.83983231542048,104.67351673848194,114.5739408625116,111.43435365545156,123.66589327146171,114.96238429381702,113.5593220338983,119.02552204176334,110.84447253710657,106.5772830761447,123.20185614849188,95.83510410185283,92.71439413103971,104.8723897911833,67.09225408575512,63.42018719959523,77.7262180974478,91.84521400964157,90.31115608398684,96.2877030162413,70.7844749602959,64.86213002782696,87.93503480278423,2025-01-21 19:37:26.186649+00:00
2019-11-01,97.75523371218922,94.28571428571429,107.80263912794032,117.73284394253926,114.98069498069498,125.70281124497993,116.00540289714718,115.08365508365509,118.67469879518072,114.45132295010936,109.31788931788932,129.31726907630522,97.55408381845805,92.8957528957529,111.04417670682732,67.77052394698742,64.68468468468468,76.70682730923694,96.52324188359708,92.8957528957529,107.02811244979921,74.24921654648625,70.14157014157014,86.144578313253,2025-01-21 19:37:26.186649+00:00
2019-12-01,101.78589227443562,97.71195394760811,113.5836385836386,121.53299282701151,117.82708492731446,132.26495726495727,117.99925158942831,116.24585564906911,123.07692307692307,120.14851879687185,114.56261157867891,136.32478632478632,100.9333837623686,95.20530476919154,117.52136752136752,69.28914749434912,66.28411119612343,77.99145299145299,99.86685486495529,96.35297118082123,110.04273504273505,82.73109658606465,77.50573833205814,97.86324786324786,2025-01-21 19:37:26.186649+00:00
2020-01-01,103.46813094682776,98.37342662386843,118.22192059721752,119.99266116760941,116.88967432466549,128.978622327791,114.8372594515283,112.16864428174702,122.56532066508314,123.31784996455141,117.01590507447614,141.56769596199524,104.15023931660608,98.6114617520828,120.19002375296913,74.80302395748052,70.28528149457208,87.88598574821853,100.42555985497143,95.0770007573845,115.91448931116389,86.75032291504718,78.56601868215097,110.45130641330167,2025-01-21 19:37:26.186649+00:00
2020-02-01,106.75962553916047,100.72952961672475,124.22222222222221,123.5535052283291,119.63922764227642,134.88888888888889,117.11563301675221,114.35467479674799,125.11111111111111,126.83486292853732,121.21443089430895,143.11111111111111,109.98664824530464,102.84552845528455,130.66666666666666,76.77743860285423,71.29065040650406,92.66666666666666,104.14382648869845,96.4430894308943,126.44444444444444,88.90546426364745,79.3191056910569,116.66666666666669,2025-01-21 19:37:26.186649+00:00
2020-03-01,106.16745568578004,99.98528383797506,124.07045009784736,125.4014136840156,121.40097862477467,136.986301369863,116.55693869805137,116.32758176667525,117.2211350293542,126.38459170835577,121.71001802729847,139.92172211350294,112.26399011293604,101.69971671388103,142.85714285714286,72.90876768069062,66.39196497553438,91.78082191780823,101.59848486121541,93.97373165078547,123.67906066536203,88.05800305519551,78.39299510687613,116.04696673189824,2025-01-21 19:37:26.186649+00:00
2020-04-01,98.77423988946006,93.54122245913291,113.92857142857144,119.52988679926635,115.45398009950249,131.33333333333334,111.09414291472709,112.22014925373134,107.83333333333333,118.91718183455288,115.205223880597,129.66666666666666,107.59984082645505,96.64179104477611,139.33333333333334,67.7805874458159,62.06467661691543,84.33333333333334,92.06995933856868,85.82089552238806,110.16666666666667,74.42808006683437,67.3818407960199,94.83333333333333,2025-01-21 19:37:26.186649+00:00
2020-05-01,77.44444232066995,73.99732977303071,87.42695950030223,93.40669591318104,90.69158878504673,101.26939351198871,80.75002997233848,83.55140186915888,72.63751763046545,98.18250531654613,94.24299065420561,109.59097320169252,101.42394928491319,94.3177570093458,122.0028208744711,53.14783004664684,48.560747663551396,66.43159379407615,64.4674113860899,62.76635514018692,69.3935119887165,50.73267432497407,43.85046728971963,70.66290550070522,2025-01-21 19:37:26.186649+00:00
2020-06-01,62.91962015697517,59.7473011569928,72.10636079249218,73.746565452145,71.73839376482549,79.56204379562044,55.12987273434163,56.52321247034904,51.0948905109489,81.95277166766238,75.80481192815995,99.7566909975669,101.06610324261024,96.64520501524908,113.86861313868613,44.861424741739114,40.02033209081667,58.880778588807786,46.605426740494664,47.40765842087428,44.28223844282238,37.07517651983311,30.09149440867502,57.2992700729927,2025-01-21 19:37:26.186649+00:00
2020-07-01,61.6262518795319,58.167552735379864,71.64232276451729,73.4523706805357,71.51860744297718,79.05236907730674,57.43342022625545,57.50300120048019,57.231920199501246,75.96997961697178,69.86794717887155,93.64089775561098,94.63211865209111,89.07563025210084,110.72319201995012,41.22488024184143,36.64465786314526,54.48877805486285,48.59368103083341,49.39975990396158,46.25935162094763,40.07731270819441,33.163265306122454,60.09975062344139,2025-01-21 19:37:26.186649+00:00
2020-08-01,61.29472812625663,58.55479368685844,69.22932330827068,75.79892781585187,74.66628798636751,79.07894736842104,65.30719834438045,65.77676796364668,63.94736842105263,69.3936461906974,63.959102527690995,85.13157894736842,84.03572452273211,77.47798920761147,103.0263157894737,38.66139667200157,36.3817097415507,45.26315789473684,51.974025898971114,54.24595285430275,45.39473684210526,43.892177439161856,37.37574552683896,62.76315789473684,2025-01-21 19:37:26.186649+00:00
2020-09-01,64.17218610206321,61.37933772730883,72.26001511715798,79.09290646407705,77.12618121178433,84.78835978835978,74.10530079716503,75.48638132295719,70.1058201058201,68.01556154272447,60.53362979433018,89.68253968253968,82.61963118088792,76.70928293496387,99.73544973544973,42.09164986916842,40.41133963312953,46.957671957671955,55.79339974879943,57.97665369649806,49.47089947089947,47.486853111620206,41.411895497498605,65.07936507936509,2025-01-21 19:37:26.186649+00:00
2020-10-01,65.47184646181105,62.36391306044406,74.47213239490203,80.57096350948311,78.22999180551761,87.35019973368841,79.38620729408251,80.36055722480197,76.56458055925432,67.77352540999051,59.08221797323135,92.9427430093209,83.50217321263452,79.32258945643267,95.60585885486019,43.45322179636766,41.49139579349904,49.134487350199734,55.63176216155195,56.54192843485386,52.996005326231696,47.985071848567074,41.51871073477193,66.711051930759,2025-01-21 19:37:26.186649+00:00
2020-11-01,66.61955360655499,63.81004154855744,74.75563909774436,81.45545839218526,79.77711334601794,86.31578947368422,84.07210960438763,84.75129111171513,82.10526315789474,68.35421100572687,60.016308779559665,92.5,85.11873292415535,81.8428920902419,94.60526315789474,45.49848058585965,43.6259853220984,50.921052631578945,56.342511772448276,57.76026094047295,52.23684210526316,45.495370961121836,38.89643924979614,64.60526315789474,2025-01-21 19:37:26.186649+00:00
2020-12-01,70.38431961926639,67.31537119596821,79.27170868347339,83.22366350671707,81.76390773405699,87.45098039215686,91.76939718391722,93.08005427408412,87.97385620915031,70.47069089423219,61.492537313432834,96.47058823529412,89.91344650223978,85.8887381275441,101.56862745098039,49.08880110633646,46.404341926729984,56.86274509803921,60.35868390057781,62.06241519674356,55.42483660130719,47.86555424084429,40.5156037991859,69.15032679738562,2025-01-21 19:37:26.186649+00:00
2021-01-01,73.02719389060113,69.83911610777282,82.25957049486462,84.90369497723367,83.3921302578019,89.28104575163398,95.97825495834351,98.561736770692,88.49673202614379,71.83437045665615,62.469470827679785,98.95424836601308,93.67594527939434,89.00949796472185,107.18954248366013,51.57489762559468,48.5753052917232,60.26143790849673,61.8164309048327,63.120759837177744,58.03921568627452,51.40676303215288,43.744911804613295,73.59477124183007,2025-01-21 19:37:26.186649+00:00
